"Date","Category","Net worth","Assets","Real estate","Consumer durables","Corporate equities and mutual fund shares","Pension entitlements","Private businesses","Other assets","Liabilities","Home mortgages","Consumer credit","Other liabilities"
"1995:Q2","BabyBoom",7602668,10256957,3358182,1066800,971114,2437198,1001928,1421734,2654289,1997877,591639,64773
"1995:Q2","GenX",478118,926825,394345,236362,0,145081,0,151036,448706,250336,194362,4009
"1995:Q2","Millenial",0,0,0,0,0,0,0,0,0,0,0,0
"1995:Q3","Silent",19282044,20716004,4645423,1205737,3142355,4739972,2296642,4685874,1433959,1002187,286607,145165
"1995:Q3","BabyBoom",8090694,10827693,3439430,1063353,1171410,2452573,1146478,1554447,2736998,2049089,612981,74927
"1995:Q3","GenX",493984,947212,328284,235899,40160,146690,41384,154795,453228,238495,210011,4722
"1995:Q3","Millenial",0,0,0,0,0,0,0,0,0,0,0,0
"1995:Q4","Silent",19375303,20809136,4556570,1204967,3233528,4777686,2302727,4733657,1433833,991483,295080,147270
"1995:Q4","BabyBoom",8503548,11300089,3541128,1079886,1354720,2555144,1174387,1594824,2796541,2079058,642145,75337
"1995:Q4","GenX",662998,1148834,391756,244401,103910,163925,55626,189216,485836,249384,230935,5518
"1995:Q4","Millenial",0,0,0,0,0,0,0,0,0,0,0,0
"1996:Q1","Silent",19384261,20818068,4464044,1199844,3276943,4827077,2272305,4777856,1433807,985215,292643,155948
"1996:Q1","BabyBoom",8915221,11734073,3630227,1103485,1472021,2652627,1225795,1649919,2818852,2112048,625635,81169
"1996:Q1","GenX",807748,1337582,498222,259095,140128,165925,69850,204363,529835,281042,243928,4864
"1996:Q1","Millenial",0,0,0,0,0,0,0,0,0,0,0,0
"1996:Q2","Silent",19615589,21057452,4561146,1209822,3368282,4844386,2282369,4791447,1441862,985684,297756,158423
"1996:Q2","BabyBoom",9138961,12018824,3685232,1108993,1550239,2759247,1229132,1685980,2879863,2154621,639758,85484
"1996:Q2","GenX",753229,1309427,446199,260016,153390,164303,67761,217758,556198,291356,259065,5776
"1996:Q2","Millenial",0,0,0,0,0,0,0,0,0,0,0,0
"1996:Q3","Silent",19844957,21294090,4615303,1214651,3435835,4857782,2312150,4858369,1449133,988097,301888,159148
"1996:Q3","BabyBoom",9225215,12156030,3740563,1122760,1532967,2859349,1230398,1669993,2930816,2188826,654263,87727
"1996:Q3","GenX",715033,1306897,438268,267808,124757,184077,56620,235367,591865,311915,273696,6254
