"Date","Category","Net worth","Assets","Real estate","Consumer durables","Corporate equities and mutual fund shares","Pension entitlements","Private businesses","Other assets","Liabilities","Home mortgages","Consumer credit","Other liabilities"
"1996:Q1","pct40to60",3151944,3808299,1191770,389849,247192,1039521,236421,703545,656355,405426,236495,14434
"1996:Q1","pct20to40",2225718,2599102,907902,255052,162940,576809,145646,550753,373384,213223,141813,18348
"1996:Q1","pct00to20",1117173,1262082,504084,128327,52889,199015,153910,223856,144910,65542,76227,3140
"1996:Q2","pct99",5733864,6025932,764155,277149,1772191,505747,1108645,1598046,292068,206673,20979,64417
"1996:Q2","pct80to99",12249532,14347398,3431672,935792,2296370,3587329,1533767,2562468,2097866,1596094,385309,116463
"1996:Q2","pct60to80",4994475,6266176,1876349,588713,528162,1838512,391403,1043037,1271701,919296,321430,30975
"1996:Q2","pct40to60",3183259,3866440,1206303,394735,254721,1064698,243456,702528,683181,421954,245681,15546
"1996:Q2","pct20to40",2244156,2626577,922009,255151,166524,574773,151413,556707,382421,218478,146441,17502
"1996:Q2","pct00to20",1102495,1253180,492090,127292,53943,196876,150579,232399,150685,69166,76739,4780
"1996:Q3","pct99",5728742,6029511,785724,276127,1768730,502451,1087242,1609238,300768,209846,25162,65760
"1996:Q3","pct80to99",12365826,14496073,3463334,948797,2300069,3654117,1551674,2578081,2130247,1621247,392151,116849
"1996:Q3","pct60to80",5084112,6374171,1907876,591327,534694,1878016,395733,1066525,1290060,929626,328375,32059
"1996:Q3","pct40to60",3235285,3940634,1219292,402756,263414,1093775,252763,708633,705349,434465,255005,15879
"1996:Q3","pct20to40",2263092,2652635,931988,257255,167551,575735,158091,562016,389542,222159,150924,16459
"1996:Q3","pct00to20",1108148,1263995,485919,128957,59102,197114,153666,239237,155846,71495,78230,6121
"1996:Q4","pct99",5916519,6227882,808442,282390,1889622,503803,1111401,1632225,311364,214211,29266,67886
"1996:Q4","pct80to99",12776843,14956150,3549893,955313,2445582,3764066,1606576,2634720,2179307,1659257,400012,120039
"1996:Q4","pct60to80",5102614,6444975,1901405,592341,563381,1912809,389195,1085844,1342362,962114,348509,31739
