"Date","Category","Net worth","Assets","Real estate","Consumer durables","Corporate equities and mutual fund shares","Pension entitlements","Private businesses","Other assets","Liabilities","Home mortgages","Consumer credit","Other liabilities"
"1996:Q2","College",14465148,16635207,3751198,1040817,3030612,3664167,1845315,3303097,2170059,1588696,412400,168962
"1996:Q2","SomeCollege",6441116,7722651,2006369,664693,1092827,1696750,810483,1451528,1281535,883276,363824,34434
"1996:Q2","HS",6449692,7617184,2164594,675187,812414,1852589,680134,1432266,1167492,805974,320993,40525
"1996:Q2","NoHS",2151823,2410661,770415,198134,136059,554430,243330,508293,258837,153715,99362,5761
"1996:Q3","College",14782956,17006090,3807555,1062598,3095716,3780364,1872046,3387809,2223134,1624783,426993,171357
"1996:Q3","SomeCollege",6408547,7728098,2031909,668685,1068137,1707906,810279,1441182,1319551,909185,376313,34053
"1996:Q3","HS",6490534,7663738,2185039,678597,804565,1872033,685384,1438119,1173205,803308,327642,42255
"1996:Q3","NoHS",2103168,2359092,769630,195339,125140,540904,231458,496620,255924,151562,98899,5463
"1996:Q4","College",15401406,17680143,3902948,1080844,3357338,3918511,1933186,3487316,2278736,1657950,446736,174051
"1996:Q4","SomeCollege",6534277,7874333,2053156,674826,1090160,1754225,822087,1479878,1340055,913211,392840,34004
"1996:Q4","HS",6506109,7705048,2184474,676699,831277,1881426,686505,1444668,1198939,823271,333946,41723
"1996:Q4","NoHS",2097754,2346577,743300,195624,122396,583441,217234,484582,248823,143700,100357,4766
"1997:Q1","College",15809791,18127111,3975052,1102823,3426461,4024965,2054806,3543004,2317321,1689871,445927,181523
"1997:Q1","SomeCollege",6477604,7831630,2079029,680643,1048538,1761400,832261,1429758,1354026,924574,391487,37965
"1997:Q1","HS",6475019,7667125,2187071,679192,811694,1899681,700828,1388660,1192106,826761,320665,44680
"1997:Q1","NoHS",2003817,2244240,724838,194443,109512,546039,212561,456847,240423,139268,96095,5060
"1997:Q2","College",16853245,19228690,4042410,1120179,4125674,4190898,2164325,3585204,2375445,1725237,460677,189531
"1997:Q2","SomeCollege",6745267,8145201,2115924,674497,1144415,1911578,819894,1478893,1399934,951010,406350,42574
"1997:Q2","HS",6561758,7736552,2202028,669736,894786,1946311,656013,1367677,1174794,816027,312272,46495
"1997:Q2","NoHS",1933603,2177106,726051,202627,115962,511262,181431,439771,243503,139650,98739,5114
"1997:Q3","College",17659535,20107528,4105580,1141645,4585705,4353099,2248654,3672846,2447993,1778141,475975,193877
"1997:Q3","SomeCollege",6909186,8356727,2162609,673306,1201356,1986070,828257,1505128,1447541,984649,417617,45274
"1997:Q3","HS",6656542,7824915,2213580,668292,947865,1983557,650867,1360754,1168373,811803,312326,44245
"1997:Q3","NoHS",1912376,2158848,720018,206817,119402,514221,168187,430203,246472,142414,99887,4172
"1997:Q4","College",18193226,20699990,4240447,1159860,4677313,4423194,2358094,3841083,2506763,1813624,493015,200124
"1997:Q4","SomeCollege",6927006,8387956,2198833,681379,1179401,1999482,842560,1486302,1460951,981125,430441,49384
"1997:Q4","HS",6651435,7840930,2200792,669128,939805,2012330,664557,1354318,1189495,822213,319316,47965
"1997:Q4","NoHS",1822834,2066512,692201,207661,111224,471443,164948,419036,243679,137275,101393,5011
"1998:Q1","College",19269346,21821402,4354652,1179375,5351904,4580374,2486105,3868991,2552056,1854166,491819,206071
"1998:Q1","SomeCollege",7347584,8838596,2256489,679077,1289049,2164457,870329,1579196,1491012,1003979,433095,53938
"1998:Q1","HS",6818238,7976759,2208189,662904,1027066,2083382,652636,1342582,1158521,811412,297356,49753
"1998:Q1","NoHS",1788026,2035105,692193,218780,121773,445947,146079,410332,247079,139933,101773,5373
"1998:Q2","College",19897888,22519979,4517407,1197611,5527013,4690770,2542889,4044290,2622092,1899562,511755,210774
"1998:Q2","SomeCollege",7406928,8936992,2311406,682141,1298849,2192668,853304,1598624,1530065,1026772,446138,57155
"1998:Q2","HS",6814683,7990827,2208350,665162,1031948,2121542,637899,1325926,1176144,820281,305707,50156
"1998:Q2","NoHS",1734844,1986519,703528,222841,115962,417396,133904,392888,251675,141523,104144,6008
"1998:Q3","College",19673706,22349628,4607702,1216873,4844368,4733814,2578801,4368070,2675922,1940216,526618,209088
"1998:Q3","SomeCollege",7017273,8603083,2393299,681581,1160404,2021174,841680,1504946,1585809,1080157,449135,56518
"1998:Q3","HS",6743973,7910413,2226862,681158,913187,2108469,675359,1305377,1166439,791378,323144,51917
"1998:Q3","NoHS",1747388,2009746,741394,217158,90553,439269,148043,373330,262358,153089,101821,7448
"1998:Q4","College",20642603,23418085,4830459,1250320,5787208,4819655,2590570,4139872,2775482,2011192,549182,215107
"1998:Q4","SomeCollege",7758564,9341256,2381799,680506,1323948,2341611,912567,1700826,1582692,1059396,464531,58765
"1998:Q4","HS",7069487,8276961,2281904,671649,1062103,2211735,662833,1386738,1207474,837325,319095,51054
"1998:Q4","NoHS",1781598,2045997,720539,231324,137816,419736,124681,411901,264399,149529,108464,6406
"1999:Q1","College",21157701,24002015,4964613,1279197,5918899,4939079,2686016,4214211,2844315,2067522,556813,219979
"1999:Q1","SomeCollege",7736083,9323542,2382921,673834,1260777,2420657,874228,1711124,1587458,1065899,461792,59768
"1999:Q1","HS",7017742,8231156,2348611,673885,1030905,2210765,623965,1343024,1213413,849107,315858,48449
"1999:Q1","NoHS",1747570,2015350,729967,234391,141261,401540,113210,394981,267780,154148,107935,5697
"1999:Q2","College",21981056,24925539,5161778,1311434,6484533,5059908,2765275,4142613,2944483,2134349,573700,236434
"1999:Q2","SomeCollege",7912248,9508926,2389789,675255,1308603,2548837,863948,1722492,1596677,1059302,468018,69358
"1999:Q2","HS",7048643,8298573,2399793,677221,1076121,2236961,597183,1311294,1249931,883852,319285,46794
"1999:Q2","NoHS",1732700,2004401,725352,240960,163486,389271,101593,383738,271701,155696,110578,5427
"1999:Q3","College",22373830,25416070,5328762,1344279,6219557,5195924,2928979,4398569,3042241,2210467,594417,237357
"1999:Q3","SomeCollege",7473123,9090877,2414011,676403,1176147,2418499,822159,1583658,1617754,1080395,468181,69178
"1999:Q3","HS",6904629,8182611,2466610,694766,978911,2165187,605252,1271886,1277982,894599,339895,43488
"1999:Q3","NoHS",1765568,2045699,745943,235285,148612,434719,117314,363826,280131,165763,109402,4965
"1999:Q4","College",24287601,27444883,5541884,1373776,7611156,5376405,3065497,4476164,3157282,2280374,613824,263085
"1999:Q4","SomeCollege",7931917,9577227,2420208,675517,1369319,2687354,828442,1596388,1645309,1073470,484914,86925
"1999:Q4","HS",7163705,8452814,2506551,691512,1128132,2239209,565692,1321719,1289110,909362,338078,41669
"1999:Q4","NoHS",1762998,2055513,748815,250316,193540,378786,96667,387388,292515,171269,116806,4441
"2000:Q1","College",25510847,28767407,5816926,1410186,8176850,5588293,3182788,4592363,3256560,2339404,618155,299001
"2000:Q1","SomeCollege",8021981,9693095,2468640,679360,1390492,2737328,785023,1632253,1671114,1075810,483362,111943
"2000:Q1","HS",7182239,8459321,2573826,703417,1142761,2236355,536705,1266257,1277081,901034,335264,40783
"2000:Q1","NoHS",1745114,2046606,772073,254965,203500,365529,92445,358094,301493,180483,116984,4025
"2000:Q2","College",25755834,29101645,6121933,1445204,7792281,5750554,3299595,4692078,3345811,2415145,641483,289183
"2000:Q2","SomeCollege",7720842,9396978,2510711,686075,1249793,2669317,730965,1550117,1676136,1082955,487941,105240
"2000:Q2","HS",6985586,8300695,2631714,719519,1030752,2188654,519137,1210919,1315109,922745,354299,38066
"2000:Q2","NoHS",1705114,2015250,796230,253914,180420,358696,96799,329191,310136,188260,118048,3828
"2000:Q3","College",26358823,29809125,6360346,1476489,7806904,5882537,3461823,4821026,3450301,2489173,671278,289850
"2000:Q3","SomeCollege",7675609,9387658,2563239,685298,1222220,2663725,750762,1502414,1712049,1108311,497596,106142
"2000:Q3","HS",7039501,8374670,2695719,731925,998531,2186243,547568,1214683,1335168,923071,377240,34858
"2000:Q3","NoHS",1762749,2088478,830252,254472,184602,380415,109705,329033,325729,201256,120959,3514
"2000:Q4","College",26189919,29720856,6696957,1508595,6845860,5945089,3553166,5171187,3530937,2552887,705944,272106
"2000:Q4","SomeCollege",7415490,9105417,2597120,696195,1050618,2515961,747528,1497994,1689926,1096414,501144,92368
"2000:Q4","HS",6885122,8296908,2726716,750179,849781,2138814,581329,1250088,1411786,964654,413422,33710
"2000:Q4","NoHS",1809475,2136982,839236,246788,160454,430480,129455,330570,327507,202829,120756,3921
"2001:Q1","College",25876317,29452412,7226847,1538289,5976280,5884741,3513996,5312259,3576095,2614948,717284,243862
"2001:Q1","SomeCollege",7336562,8989268,2685060,704163,946215,2340791,777283,1535755,1652706,1091834,485958,74914
"2001:Q1","HS",6927637,8376164,2790265,769379,741886,2121765,647653,1305215,1448527,987125,432542,28860
"2001:Q1","NoHS",1966080,2290749,880612,234902,154874,513336,156953,350072,324668,207453,113940,3276
"2001:Q2","College",26331553,30019724,7502811,1565729,6422076,5899872,3479287,5149950,3688172,2708311,737339,242522
"2001:Q2","SomeCollege",7792640,9469949,2729558,702729,1073655,2480387,835954,1647666,1677309,1111220,492709,73380
"2001:Q2","HS",7116015,8605944,2811636,771178,792328,2205473,678939,1346390,1489929,1026996,437921,25012
"2001:Q2","NoHS",2055529,2390671,896874,239143,190211,535293,160276,368873,335141,215673,116280,3188
"2001:Q3","College",25614752,29473987,7779230,1594089,5337233,5899580,3450786,5413069,3859235,2815142,758077,286016
"2001:Q3","SomeCollege",7461787,9183382,2776550,704780,940569,2272574,840913,1647997,1721596,1141061,479088,101446
"2001:Q3","HS",7036174,8551842,2824302,788728,640705,2164283,737204,1396620,1515668,1022928,468197,24544
"2001:Q3","NoHS",2139605,2483080,923216,223715,163992,607720,190280,374157,343475,231369,108989,3117
"2001:Q4","College",26321242,30225814,8001437,1621689,6042776,5891252,3369105,5299555,3904572,2869833,791311,243428
"2001:Q4","SomeCollege",7912050,9643362,2828285,715572,1052358,2471932,924891,1650325,1731312,1158911,502656,69746
"2001:Q4","HS",7376532,8951718,2879815,791568,750955,2293893,752787,1482701,1575186,1072395,481097,21694
"2001:Q4","NoHS",2242051,2586655,944458,235431,206873,581514,180629,437750,344604,223796,116764,4044
"2002:Q1","College",26813915,30816230,8261797,1640948,6101620,6031733,3417044,5363087,4002314,2970178,792152,239984
"2002:Q1","SomeCollege",7979012,9730631,2888965,725239,1022675,2500457,933976,1659318,1751618,1183975,501956,65687
"2002:Q1","HS",7438006,9017046,2923006,795796,747980,2323409,742945,1483909,1579040,1082862,473965,22214
"2002:Q1","NoHS",2265223,2610297,960833,236290,206040,585677,176848,444610,345074,225392,115443,4240
"2002:Q2","College",26630058,30751298,8497885,1665444,5528776,6100148,3470944,5488101,4121240,3087541,812515,221183
"2002:Q2","SomeCollege",7757370,9521990,2958464,740707,896576,2312172,922129,1691942,1764620,1216622,495029,52969
"2002:Q2","HS",7275250,8904192,2959113,811910,661175,2285769,762678,1423548,1628943,1107485,500420,21038
