"Date","Category","Net worth","Assets","Real estate","Consumer durables","Corporate equities and mutual fund shares","Pension entitlements","Private businesses","Other assets","Liabilities","Home mortgages","Consumer credit","Other liabilities"
"1997:Q1","Black",3.5,3.9,5.1,5.1,1.2,6.3,1.7,2.5,6.4,6.5,7.2,1.9
"1997:Q1","Hispanic",1.9,2.3,3.4,3.3,0.7,2.5,1.8,1.7,4.7,4.8,5,2.3
"1997:Q1","Other",3.3,3.6,4.4,4.1,2.5,3.2,4.4,3.2,5.1,5.5,4.4,3.7
"1997:Q2","White",91.4,90.3,87.2,87.7,95.7,87.8,92.3,92.5,83.7,83.6,82.4,91.7
"1997:Q2","Black",3.5,3.9,5,5.1,1.2,6.3,1.5,2.6,6.4,6.3,7.6,1.9
"1997:Q2","Hispanic",1.9,2.3,3.4,3.2,0.9,2.7,1.5,1.7,4.7,4.6,5.4,2.3
"1997:Q2","Other",3.3,3.5,4.4,4,2.2,3.3,4.7,3.1,5.2,5.5,4.6,4.1
"1997:Q3","White",91.5,90.4,87.3,87.8,95.7,87.9,92.3,92.5,83.9,83.9,82.3,91.8
"1997:Q3","Black",3.4,3.8,5,5,1.2,6.2,1.4,2.7,6.3,6.2,7.5,1.6
"1997:Q3","Hispanic",2,2.3,3.4,3.2,1,2.7,1.5,1.8,4.6,4.4,5.5,2.2
"1997:Q3","Other",3.2,3.5,4.4,4,2.1,3.2,4.8,3,5.2,5.5,4.7,4.4
"1997:Q4","White",91.2,90.2,86.5,87.5,95.6,87.9,92,92.4,83.5,83.1,83.1,90.9
"1997:Q4","Black",3.4,3.8,5.2,5.1,1.2,6.1,1.5,2.7,6.3,6.5,6.9,1.6
"1997:Q4","Hispanic",2,2.4,3.6,3.4,1,2.7,1.7,1.9,4.8,4.8,5.4,2.5
"1997:Q4","Other",3.3,3.6,4.8,4.1,2.1,3.2,4.9,3,5.3,5.6,4.5,5
"1998:Q1","White",91.2,90.2,86.5,87.6,95.7,87.6,92.3,92.4,83.4,83.5,81.5,90.2
"1998:Q1","Black",3.4,3.8,5.1,5.1,1.2,6.1,1.3,2.9,6.4,6.4,7.9,1.5
"1998:Q1","Hispanic",2.1,2.5,3.6,3.3,1.2,2.9,1.5,2,4.8,4.6,5.9,2.6
"1998:Q1","Other",3.3,3.5,4.8,4,2,3.4,4.9,2.8,5.3,5.5,4.7,5.7
"1998:Q2","White",91.2,90.2,86.5,87.6,95.6,87.6,92,92.4,83.3,83.3,81.9,89.7
"1998:Q2","Black",3.4,3.8,5,5.1,1.3,6.1,1.4,2.9,6.4,6.4,7.6,1.4
"1998:Q2","Hispanic",2.1,2.5,3.7,3.4,1.2,2.9,1.5,2.1,4.9,4.7,5.8,2.6
"1998:Q2","Other",3.2,3.5,4.9,4,1.9,3.4,5.1,2.5,5.4,5.6,4.7,6.3
"1998:Q3","White",91.2,90.3,87.5,87.9,95.2,88.4,91,92.2,84.8,84.8,83.7,88.7
"1998:Q3","Black",3.3,3.7,4.4,4.7,1.5,5.8,1.7,2.9,5.9,6,6.6,1.2
"1998:Q3","Hispanic",2.3,2.6,3.5,3.6,1.2,2.7,2.1,2.4,4.2,3.9,5.5,2.9
"1998:Q3","Other",3.1,3.4,4.5,3.8,2.1,3.1,5.1,2.4,5.1,5.2,4.3,7.2
"1998:Q4","White",91.2,90.1,86.7,87.6,95.5,87.1,92.8,92.3,83.3,83.5,81.3,89.8
"1998:Q4","Black",3.4,3.8,4.9,5.2,1.2,6.2,1.2,2.8,6.5,6.4,7.9,1.6
"1998:Q4","Hispanic",2.1,2.5,3.6,3.3,1.2,3.1,1.3,2.1,4.9,4.7,6,2.7
"1998:Q4","Other",3.3,3.5,4.8,3.9,2,3.6,4.7,2.7,5.3,5.4,4.8,5.9
"1999:Q1","White",91.3,90.2,87,87.7,95.6,86.8,92.9,92.7,83.2,83.7,80,90.9
"1999:Q1","Black",3.4,3.8,5,5.4,1.2,6.4,1.1,2.9,6.7,6.4,8.6,1.7
"1999:Q1","Hispanic",2.1,2.4,3.5,3.2,1.2,3.2,1.1,1.8,4.9,4.6,6.3,2.4
"1999:Q1","Other",3.2,3.5,4.5,3.8,2,3.6,4.9,2.6,5.2,5.3,5,5
"1999:Q2","White",91.4,90.2,86.8,87.5,95.7,86.4,93.3,92.8,82.5,83,78.9,91.7
"1999:Q2","Black",3.4,3.9,5.1,5.6,1.1,6.5,0.9,3,7,6.6,9.3,1.9
"1999:Q2","Hispanic",2,2.4,3.5,3.1,1.3,3.4,0.8,1.6,5.2,5,6.5,2.1
"1999:Q2","Other",3.2,3.5,4.6,3.7,1.9,3.8,4.9,2.6,5.3,5.4,5.3,4.2
"1999:Q3","White",91.5,90.3,87.2,87.6,95.7,87,92.5,92.8,83.1,83.5,79.4,92.4
"1999:Q3","Black",3.4,3.9,5,5.6,1,6.4,1.1,3,6.9,6.5,9,2
"1999:Q3","Hispanic",2,2.4,3.4,3.3,1.3,3.3,1.1,1.6,5,4.8,6.4,1.9
"1999:Q3","Other",3.1,3.4,4.4,3.6,2,3.3,5.2,2.5,5.1,5.1,5.2,3.6
"1999:Q4","White",91.4,90.2,87.1,87.4,96,86,93.1,92.2,82.8,83.6,78,92.7
"1999:Q4","Black",3.3,3.8,5.1,6,0.9,6.6,0.9,3.1,7.2,6.6,10.1,2.2
"1999:Q4","Hispanic",2.1,2.5,3.4,3,1.4,3.5,0.7,1.8,5,4.8,6.6,1.6
"1999:Q4","Other",3.3,3.5,4.4,3.5,1.7,3.8,5.3,2.9,4.9,4.9,5.4,3.5
"2000:Q1","White",91.3,90.3,87.2,87.4,96.1,85.9,92.9,92.3,83.4,84.5,77.2,92.8
"2000:Q1","Black",3.4,3.9,5,6.2,0.9,6.6,0.8,3.3,7.2,6.4,10.8,2.3
"2000:Q1","Hispanic",2.1,2.4,3.4,3,1.4,3.6,0.7,1.6,4.7,4.4,6.6,1.2
"2000:Q1","Other",3.3,3.5,4.3,3.4,1.6,3.9,5.7,2.8,4.7,4.6,5.4,3.6
"2000:Q2","White",91.2,90.1,87.3,87.3,96.1,86.1,92.2,92.2,83.4,84.5,77.3,93.2
"2000:Q2","Black",3.4,3.9,5,6.3,0.8,6.5,0.9,3.5,7.3,6.5,10.8,2.5
"2000:Q2","Hispanic",2.1,2.5,3.4,3.1,1.4,3.6,0.8,1.6,4.7,4.5,6.5,1.1
"2000:Q2","Other",3.3,3.5,4.3,3.4,1.7,3.8,6.1,2.8,4.6,4.5,5.3,3.2
"2000:Q3","White",91.2,90.2,87.8,87.4,96.1,86.1,92.1,92.1,83.9,85.3,77.5,93.5
"2000:Q3","Black",3.4,3.9,4.9,6.3,0.8,6.6,0.9,3.5,7.2,6.4,10.9,2.6
"2000:Q3","Hispanic",2.1,2.5,3.3,3.1,1.4,3.6,0.9,1.7,4.5,4.1,6.4,1
"2000:Q3","Other",3.3,3.4,4,3.2,1.7,3.7,6.1,2.7,4.4,4.2,5.2,2.9
"2000:Q4","White",91.1,90.1,87.6,87.2,96,86.6,91.6,92.3,83.4,84.4,78.3,93.9
"2000:Q4","Black",3.4,4,4.9,6.4,0.8,6.5,1.1,3.3,7.4,6.7,10.6,2.8
"2000:Q4","Hispanic",2.1,2.5,3.3,3.3,1.3,3.5,1.2,1.7,4.8,4.6,6.1,1.1
"2000:Q4","Other",3.3,3.5,4.2,3.2,1.9,3.4,6.1,2.7,4.4,4.3,5,2.3
"2001:Q1","White",91.1,90,87.5,87,95.8,87.1,91.7,92.6,83.3,84.1,78.7,94.6
"2001:Q1","Black",3.4,4,4.9,6.4,0.9,6.5,1.3,3.1,7.5,6.8,10.6,2.9
"2001:Q1","Hispanic",2.1,2.5,3.3,3.6,1.2,3.4,1.5,1.7,4.9,4.8,5.8,1
"2001:Q1","Other",3.3,3.4,4.2,3.1,2.2,3.1,5.6,2.6,4.3,4.3,4.9,1.5
"2001:Q2","White",91.3,90.1,87.7,86.9,95.8,86.4,92.8,92.7,82.6,83.6,77.3,95.5
"2001:Q2","Black",3.4,4,4.8,6.6,0.8,6.7,1.1,3.2,7.9,7,11.5,3.1
"2001:Q2","Hispanic",2,2.5,3.2,3.4,1.2,3.6,1.2,1.6,5.1,5.1,6,0.9
"2001:Q2","Other",3.3,3.4,4.2,3,2.2,3.3,5,2.6,4.4,4.3,5.2,0.6
"2001:Q3","White",91.4,90.3,88.3,86.9,95.5,87,92.7,93,83.5,84.4,78.3,95.3
"2001:Q3","Black",3.3,4,4.5,6.5,0.9,6.6,1.2,2.9,7.7,6.8,11.2,3
"2001:Q3","Hispanic",2.1,2.5,3.1,3.7,1,3.4,1.5,1.6,4.7,4.7,5.6,0.7
